run_dir,eval_loss,eval_acc,metric_loss,metric_acc,metric_val_loss,metric_val_acc,flag_do_drop1,flag_drop1,flag_do_norm1,flag_do_norm2,flag_batch_size,flag_epochs,samples,validation_samples,batch_size,epochs,epochs_completed,metrics,model,loss_function,optimizer,learning_rate,script,start,end,completed,output,source_code,context,type
runs/2019-03-11T13-11-53Z,0.1582,0.949,0.0611,0.9822,0.1424,0.9512,TRUE,0.01,FALSE,TRUE,256,30,6900,902,512,30,30,runs/2019-03-11T13-11-53Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
batch_normalization_1 (BatchNormali (None, 1, 116, 8)               32          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dropout_1 (Dropout)                 (None, 8)                       0           
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,571
Trainable params: 7,555
Non-trainable params: 16
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:11:53Z,2019-03-11T13:12:21Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.1581671

$acc
[1] 0.9490022
",runs/2019-03-11T13-11-53Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-11-02Z,0.1512,0.9501,0.0501,0.9865,0.1476,0.9401,FALSE,0.1,TRUE,TRUE,512,30,6900,902,512,30,30,runs/2019-03-11T13-11-02Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
batch_normalization_1 (BatchNormali (None, 2, 232, 4)               16          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
batch_normalization_2 (BatchNormali (None, 1, 116, 8)               32          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,587
Trainable params: 7,563
Non-trainable params: 24
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:11:02Z,2019-03-11T13:11:53Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.1512078

$acc
[1] 0.9501109
",runs/2019-03-11T13-11-02Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-10-19Z,0.2453,0.9058,0.2093,0.9151,0.2504,0.8991,FALSE,0.01,TRUE,FALSE,512,30,6900,902,512,30,30,runs/2019-03-11T13-10-19Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
batch_normalization_1 (BatchNormali (None, 2, 232, 4)               16          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,555
Trainable params: 7,547
Non-trainable params: 8
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:10:19Z,2019-03-11T13:11:02Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.245289

$acc
[1] 0.905765
",runs/2019-03-11T13-10-19Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-09-57Z,0.2142,0.9157,0.1923,0.9251,0.2147,0.9169,FALSE,0.01,FALSE,FALSE,256,40,6900,902,512,30,30,runs/2019-03-11T13-09-57Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,539
Trainable params: 7,539
Non-trainable params: 0
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:09:57Z,2019-03-11T13:10:19Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.2142178

$acc
[1] 0.9157428
",runs/2019-03-11T13-09-57Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-09-07Z,0.1785,0.9379,0.0757,0.9723,0.1503,0.9435,TRUE,0.1,TRUE,TRUE,256,30,6900,902,512,30,30,runs/2019-03-11T13-09-07Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
batch_normalization_1 (BatchNormali (None, 2, 232, 4)               16          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
batch_normalization_2 (BatchNormali (None, 1, 116, 8)               32          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dropout_1 (Dropout)                 (None, 8)                       0           
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,587
Trainable params: 7,563
Non-trainable params: 24
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:09:07Z,2019-03-11T13:09:57Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.1784939

$acc
[1] 0.9379157
",runs/2019-03-11T13-09-07Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-08-38Z,0.1382,0.9534,0.0775,0.9757,0.1464,0.9512,TRUE,0.1,FALSE,TRUE,256,40,6900,902,512,30,30,runs/2019-03-11T13-08-38Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
batch_normalization_1 (BatchNormali (None, 1, 116, 8)               32          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dropout_1 (Dropout)                 (None, 8)                       0           
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,571
Trainable params: 7,555
Non-trainable params: 16
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:08:38Z,2019-03-11T13:09:07Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.13815

$acc
[1] 0.9534368
",runs/2019-03-11T13-08-38Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-08-16Z,0.1956,0.929,0.13,0.9539,0.1801,0.9335,FALSE,0.1,FALSE,FALSE,512,40,6900,902,512,30,30,runs/2019-03-11T13-08-16Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,539
Trainable params: 7,539
Non-trainable params: 0
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:08:16Z,2019-03-11T13:08:38Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.1956482

$acc
[1] 0.9290466
",runs/2019-03-11T13-08-16Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-07-33Z,0.1746,0.939,0.154,0.942,0.1903,0.9335,FALSE,0.05,TRUE,FALSE,256,40,6900,902,512,30,30,runs/2019-03-11T13-07-33Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
batch_normalization_1 (BatchNormali (None, 2, 232, 4)               16          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,555
Trainable params: 7,547
Non-trainable params: 8
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:07:33Z,2019-03-11T13:08:16Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.174625

$acc
[1] 0.9390244
",runs/2019-03-11T13-07-33Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-06-49Z,0.2413,0.9024,0.1685,0.9359,0.216,0.9002,FALSE,0.05,TRUE,FALSE,256,30,6900,902,512,30,30,runs/2019-03-11T13-06-49Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
batch_normalization_1 (BatchNormali (None, 2, 232, 4)               16          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,555
Trainable params: 7,547
Non-trainable params: 8
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:06:49Z,2019-03-11T13:07:32Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.2413319

$acc
[1] 0.902439
",runs/2019-03-11T13-06-49Z/tfruns.d/source.tar.gz,local,training
runs/2019-03-11T13-06-05Z,0.1749,0.9346,0.1453,0.9462,0.1665,0.9335,TRUE,0.1,TRUE,FALSE,512,30,6900,902,512,30,30,runs/2019-03-11T13-06-05Z/tfruns.d/metrics.json,"Model
________________________________________________________________________________
Layer (type)                        Output Shape                    Param #     
================================================================================
separable_conv2d_1 (SeparableConv2D (None, 2, 232, 4)               18          
________________________________________________________________________________
batch_normalization_1 (BatchNormali (None, 2, 232, 4)               16          
________________________________________________________________________________
max_pooling2d_1 (MaxPooling2D)      (None, 1, 116, 4)               0           
________________________________________________________________________________
separable_conv2d_2 (SeparableConv2D (None, 1, 116, 8)               80          
________________________________________________________________________________
flatten_1 (Flatten)                 (None, 928)                     0           
________________________________________________________________________________
dense_1 (Dense)                     (None, 8)                       7432        
________________________________________________________________________________
dropout_1 (Dropout)                 (None, 8)                       0           
________________________________________________________________________________
dense_2 (Dense)                     (None, 1)                       9           
================================================================================
Total params: 7,555
Trainable params: 7,547
Non-trainable params: 8
________________________________________________________________________________

",binary_crossentropy,<keras.optimizers.RMSprop>,0.00100000004749745,tunable_model.R,2019-03-11T13:06:05Z,2019-03-11T13:06:49Z,TRUE,"
> library(keras)

> library(magrittr)

> FLAGS <- flags(flag_boolean(""do_drop1"", TRUE, ""do layer1dropout""), 
+     flag_numeric(""drop1"", 0.01, ""drop 1 rate""), flag_boolean(""do_norm1"", 
+    .... [TRUNCATED] 

> final_model <- keras_model_sequential() %>% layer_separable_conv_2d(filters = 4, 
+     kernel_size = c(2, 5), activation = ""relu"", input_shape = c( .... [TRUNCATED] 

> if (FLAGS$do_norm1) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_max_pooling_2d(pool_size = c(2, 
+     2))

> final_model %>% layer_separable_conv_2d(filters = 8, 
+     kernel_size = c(2, 5), activation = ""relu"", padding = ""same"")

> if (FLAGS$do_norm2) {
+     final_model %>% layer_batch_normalization()
+ }

> final_model %>% layer_flatten()

> final_model %>% layer_dense(units = 8, activation = ""relu"")

> if (FLAGS$do_drop1) {
+     final_model %>% layer_dropout(FLAGS$drop1)
+ }

> final_model %>% layer_dense(units = 1, activation = ""sigmoid"")

> final_model %>% compile(optimizer = ""rmsprop"", loss = ""binary_crossentropy"", 
+     metrics = c(""accuracy""))

> final_model %>% fit(x_train, y_train, epochs = 30, 
+     batch_size = 512, validation_data = list(x_val, y_val))

> final_model %>% evaluate(x_test, y_test)
$loss
[1] 0.1748678

$acc
[1] 0.9345898
",runs/2019-03-11T13-06-05Z/tfruns.d/source.tar.gz,local,training
